Date(UT)	Tel	Fliter	Mag Mag_error	Exposure(s)
#=============================================================================
2018 Nov 07.58	JCBT	B	19.29	0.28	1800
2018 Nov 07.57	JCBT	V	18.78	0.10	1200
2018 Nov 08.57	HCT	V	19.27	0.13	300*3
2018 Nov 08.56	HCT	R	19.11	0.11	180*3
2018 Nov 08.55	HCT	I	18.83	0.20	150*3
2018 Nov 08.76	GIT	g'	19.60	0.10	300*3
2018 Nov 08.77	GIT	r'	19.15	0.09	300*3
2018 Nov 08.74	GIT	i'	19.28	0.15	300*3
2018 Nov 10.78	GIT	g'	21.08	0.19	300*3
2018 Nov 10.80	GIT	r'	20.82	0.20	300*3
2018 Nov 10.81	GIT	i'	20.27	0.22	300*3
#=============================================================================
2020 Oct 31.61	GIT	r'	18.41	0.03	500*2
2020 Oct 31.66	GIT	r'	18.37	0.02	500*2
2020 Oct 31.68	GIT	r'	18.36	0.02	500*2
2020 Oct 31.69	GIT	r'	18.47	0.03	500*2
2020 Oct 31.71	GIT	r'	18.42	0.04	500*2
2020 Oct 31.72	GIT	r'	18.56	0.04	500*2
2020 Oct 31.75	GIT	r'	18.39	0.03	500*2
2020 Oct 31.76	GIT	r'	18.43	0.03	500*2
2020 Oct 31.85	GIT	r'	18.73	0.04	500*2
2020 Oct 31.87	GIT	r'	18.60	0.04	500*2
2020 Oct 31.89	GIT	r'	18.50	0.03	500*3
2020 Nov 01.61	GIT	r'	19.21	0.07	500*2
2020 Nov 01.74	GIT	r'	19.48	0.12	500*2
2020 Nov 01.84	GIT	r'	19.60	0.15	500*2
#=============================================================================
2021 Nov 14.73	GIT	g'	18.40	0.08	300
2021 Nov 14.73	GIT	r'	18.26	0.08	300
2021 Nov 14.74	GIT	i'	18.61	0.17	300
2021 Nov 14.79	GIT	g'	18.38	0.15	300
2021 Nov 14.79	GIT	r'	18.28	0.14	300
2021 Nov 14.79	GIT	i'	18.50	0.24	300
2021 Nov 15.57	GIT	g'	18.72	0.05	300*2
2021 Nov 15.58	GIT	r'	18.64	0.04	300*2
2021 Nov 15.59	GIT	i'	18.53	0.05	300*2
2021 Nov 16.56	GIT	g'	20.18	0.28	300*2
2021 Nov 16.57	GIT	r'	19.67	0.18	300*2
#=============================================================================
2022 Dec 3.55	GIT	g'	18.47	0.05	360
2022 Dec 3.55	GIT	r'	18.18	0.08	360
2022 Dec 3.56	GIT	i'	18.32	0.08	360
2022 Dec 3.58	GIT	g'	18.38	0.06	360
2022 Dec 3.59	GIT	r'	18.31	0.04	360
2022 Dec 3.59	GIT	i'	18.30	0.07	360
2022 Dec 3.65	GIT	g'	18.46	0.05	360
2022 Dec 3.65	GIT	r'	18.13	0.05	360
2022 Dec 3.66	GIT	i'	18.40	0.08	360
2022 Dec 3.66	GIT	r'	18.26	0.05	400
2022 Dec 3.72	GIT	g'	18.52	0.05	400
2022 Dec 3.73	GIT	g'	18.52	0.05	360
