M31N	RA	DEC	UVIT field	Each Epoch detection	Discovery JD	MAG	MAG_err	Filt	T2	T2_err	alternative names	F148W mag	F148W err	F148W upper limit	F172M mag	F172M err	F172M upper limit	F169M mag	F169M err	F169M upper limit	N219M mag	N219M err	N219M upper limit	N279N mag	N279N err	N279N upper limit
2022-04d	00 : 38 : 48.05	 + 40 : 15 : 26.7	15	N	2459695.52	16.5		w			AT2022iro	99	99	23.345				99	99	24.297						
2022-04c	00 : 42 : 57.33	 + 41 : 16 : 18.4	1	N	2459692.41	17.3		w			AT2022icc XM70MZ PNV J00425733+4116184	99	99	23.307	99	99	22.292	99	99	22.666	99	99	21.859	99	99	21.046
2022-04b	00 : 43 : 10.52	 + 41 : 19 : 19.8	1	N	2459681.63	17.6		R			PNV J00431052+4119198	99	99	23.735	99	99	23.001	99	99	22.626	99	99	22.083	99	99	21.526
2022-04a	00 : 42 : 40.66	 + 41 : 16 : 35.0	1	N	2459681.63	16.9		R			PNV J00424066+4116350	99	99	22.264	99	99	21.899	99	99	21.85	99	99	21.269	99	99	20.327
2022-03c	00 : 42 : 31.48	 + 41 : 11 : 51.1	1	N	2459660.27	16.5		R			PNV J00423148+4111511	99	99	23.679	99	99	23.055	99	99	22.926	99	99	22.083	99	99	21.468
2022-03b	00 : 43 : 04.06	 + 41 : 17 : 08.0	1	N	2459646.25	16.5		w			RN M31N 1990-10a AT2022eqi	99	99	23.537	99	99	22.95	99	99	22.976	99	99	22.083	99	99	21.46
2022-03a	00 : 42 : 08.94	 + 41 : 06 : 24.0	1	N	2459646.25	16.3		w			AT2022eng PNV J00420894+4106240	99	99	24.178	99	99	23.484	99	99	22.626	99	99	22.083	99	99	21.526
2022-03d	00 : 44 : 10.72	 + 41 : 54 : 22.4	10	N	2459644.09	17.7		w			RN M31N 2017-01e AT2022fcy PSP22P	99	99	22.877	99	99	22.105				99	99	23.069			
2022-02a	00 : 42 : 57.50	 + 40 : 59 : 04.3	6	N	2459626.92	16		w			PNV J00425751+4059043 AT2022cpe XM65MZ	99	99	23.107	99	99	22.373				99	99	22.434	99	99	22.307
2022-01c	00 : 42 : 46.99	 + 41 : 15 : 53.2	1	N	2459605.06	16.4		G			AT2022alr XN05JR PNV J00424699+4115532	99	99	22.243	99	99	21.54	99	99	21.496	99	99	20.863	99	99	20.215
